timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,kelly_multiplier,position_size_pct
2025-01-21 00:00:00,SELL,101187.75,0.012,1214.253,Trend Reversal,8023.755,SELL,1.0,
2025-01-21 01:00:00,SELL,101498.24,0.0048,487.191552,Trend Reversal,8026.23892,SELL,1.0,
2025-01-21 02:00:00,SELL,102545.56,0.0019200000000000003,196.8874752,Trend Reversal,8029.590344,SELL,1.0,
2025-01-21 03:00:00,SELL,102936.01,0.0007680000000000001,79.05485568,Trend Reversal,8030.090120000001,SELL,1.0,
2025-01-21 04:00:00,BUY,102344.2,0.051097760790123396,5229.559449856547,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8029.78711328,BUY,1.0,0.6555479289940829
2025-01-21 05:00:00,SELL,101365.98,0.03383267180184541,3429.4819332124257,Trend Reversal,7979.301413079885,SELL,1.0,
2025-01-21 06:00:00,SELL,102176.04,0.011653733869809148,1190.7323780309741,Trend Reversal,7993.70192178573,SELL,1.0,
2025-01-21 07:00:00,SELL,101989.05,0.004014152766407562,409.3996272007792,Trend Reversal,7992.556915612127,SELL,1.0,
2025-01-21 08:00:00,SELL,102466.81,0.0013826832337232163,141.6791402001024,Trend Reversal,7993.564608127848,SELL,1.0,
2025-01-21 09:00:00,BUY,102707.08,0.045950298220375364,4719.4209553439505,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),7993.739168876411,BUY,1.0,0.5959526627218935
2025-01-21 10:00:00,BUY,103160.85,0.018484429611632908,1906.8694705012206,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8014.9197082802,BUY,1.0,0.5959526627218935
2025-01-21 11:00:00,BUY,103758.25,0.007425583335232918,770.465532092931,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8053.847037208337,BUY,1.0,0.5959526627218935
2025-01-21 12:00:00,BUY,104519.98,0.002978421414802301,311.3045467067082,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8109.138603441771,BUY,1.0,0.5959526627218935
2025-01-21 13:00:00,BUY,104457.07,0.0012041480119958695,125.78177317941339,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8104.3847934573,BUY,1.0,0.5959526627218935
2025-01-21 14:00:00,SELL,103260.91,0.04575092817415269,4724.282476607646,Trend Reversal,8012.556308297342,SELL,1.0,
2025-01-21 15:00:00,BUY,103943.0,0.02757540682793424,2866.2705119159687,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8033.71369754885,BUY,1.0,0.5959526627218935
2025-01-21 16:00:00,BUY,104965.99,0.015884602149164612,1667.3429903431913,Momentum Breakout,8093.654649178648,BUY,1.0,0.8580000000000001
2025-01-21 17:00:00,BUY,106173.26,0.002229965479337575,236.76270462873296,Momentum Breakout,8183.5702843503805,BUY,1.0,0.8580000000000001
2025-01-22 14:00:00,SELL,104393.66,0.06581584666341928,6870.7571191931265,Trend Reversal,8047.059933858282,SELL,1.0,
2025-01-22 15:00:00,SELL,104180.01,0.009345850226205538,973.6507700245952,Trend Reversal,8044.732730011163,SELL,1.0,
2025-01-22 16:00:00,SELL,103704.64,0.001327110732121185,137.6275407147639,Trend Reversal,8043.997451889102,SELL,1.0,
2025-01-22 17:00:00,BUY,104345.8,0.0458117852145915,4780.267377644722,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8044.13827522828,BUY,1.0,0.5959526627218935
2025-01-22 18:00:00,SELL,103896.01,0.027432549455853966,2850.132432590898,Trend Reversal,8023.433801212855,SELL,1.0,
2025-01-22 19:00:00,BUY,104630.0,0.03469366642193749,3629.9983177273198,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8037.085188836747,BUY,1.0,0.5959526627218935
2025-01-22 20:00:00,SELL,104321.1,0.03175983144612656,3313.220552274514,Trend Reversal,8020.623123059744,SELL,1.0,
2025-01-22 21:00:00,SELL,104088.03,0.012832475328208911,1335.707076936869,Trend Reversal,8015.604494548067,SELL,1.0,
2025-01-22 22:00:00,SELL,103866.79,0.005184927487049806,538.5417744626299,Trend Reversal,8013.679654826745,SELL,1.0,
2025-01-22 23:00:00,SELL,103706.66,0.002094956145122538,217.2609046571337,Trend Reversal,8013.116748830174,SELL,1.0,
2025-01-23 00:00:00,SELL,103307.51,0.0008464614521511679,87.4458249327213,Trend Reversal,8012.549816068967,SELL,1.0,
2025-01-23 01:00:00,BUY,102931.94,0.046047593636707566,4739.768145357965,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (90%),8012.334280691811,BUY,1.0,0.5959526627218935
2025-01-23 02:00:00,SELL,102655.34,0.027784196535581833,2852.196141986975,Trend Reversal,7999.438778678879,SELL,1.0,
2025-01-23 03:00:00,SELL,102461.25,0.011226130628613431,1150.243376871018,Trend Reversal,7995.782649878723,SELL,1.0,
2025-01-23 04:00:00,SELL,102075.22,0.0045358881884274525,463.0017847291337,Trend Reversal,7992.8445156494345,SELL,1.0,
